date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2026-08-05,11.83,2.71,450,"1996-07-29 2025-08-12",85.36,8.62,450,"1996-07-29 2025-08-12",24.29,4.63,450,"1996-07-29 2025-08-12",27.29,8.67,450,"1996-07-29 2025-08-12",6.57,3.23,450,"1996-07-29 2025-08-12",40.15,14.74,450,"1996-07-29 2025-08-12",10.77,2.73,450,"1996-07-29 2025-08-12",2.18,2.82,450,"1996-07-29 2025-08-12",2.21,5.78,450,"1996-07-29 2025-08-12",2.17,5.78,444,"1996-07-29 2025-08-12",0,0,445,"1996-07-29 2025-08-12",0,0,240,"1996-07-29 2011-08-12",,,,
2026-08-04,11.89,2.73,450,"1996-07-28 2025-08-11",85.23,8.65,450,"1996-07-28 2025-08-11",24.4,4.58,450,"1996-07-28 2025-08-11",27.29,8.65,450,"1996-07-28 2025-08-11",6.59,3.26,450,"1996-07-28 2025-08-11",39.98,14.6,450,"1996-07-28 2025-08-11",10.83,2.73,450,"1996-07-28 2025-08-11",2.19,2.85,450,"1996-07-28 2025-08-11",2.2,5.87,450,"1996-07-28 2025-08-11",2.16,5.87,444,"1996-07-28 2025-08-11",0,0,445,"1996-07-28 2025-08-11",0,0,240,"1996-07-28 2011-08-11",,,,
2026-08-03,11.91,2.72,450,"1996-07-27 2025-08-10",85.22,8.65,450,"1996-07-27 2025-08-10",24.52,4.57,450,"1996-07-27 2025-08-10",27.2,8.65,450,"1996-07-27 2025-08-10",6.62,3.27,450,"1996-07-27 2025-08-10",39.67,14.5,450,"1996-07-27 2025-08-10",10.83,2.71,450,"1996-07-27 2025-08-10",2.18,2.86,450,"1996-07-27 2025-08-10",2.09,5.36,450,"1996-07-27 2025-08-10",2.05,5.35,444,"1996-07-27 2025-08-10",0,0,445,"1996-07-27 2025-08-10",0,0,240,"1996-07-27 2011-08-10",,,,
2026-08-02,11.91,2.76,450,"1996-07-26 2025-08-09",85.29,8.64,450,"1996-07-26 2025-08-09",24.55,4.44,450,"1996-07-26 2025-08-09",27.24,8.63,450,"1996-07-26 2025-08-09",6.67,3.3,450,"1996-07-26 2025-08-09",39.53,13.96,450,"1996-07-26 2025-08-09",10.82,2.68,450,"1996-07-26 2025-08-09",2.16,2.87,450,"1996-07-26 2025-08-09",2.07,5.36,450,"1996-07-26 2025-08-09",2.03,5.35,444,"1996-07-26 2025-08-09",0,0,445,"1996-07-26 2025-08-09",0,0,240,"1996-07-26 2011-08-09",,,,
2026-08-01,11.98,2.72,450,"1996-07-25 2025-08-08",85.28,8.78,450,"1996-07-25 2025-08-08",24.5,4.41,450,"1996-07-25 2025-08-08",27.45,8.74,450,"1996-07-25 2025-08-08",6.67,3.31,450,"1996-07-25 2025-08-08",39.72,13.69,450,"1996-07-25 2025-08-08",10.87,2.69,450,"1996-07-25 2025-08-08",2.17,2.93,450,"1996-07-25 2025-08-08",2.07,5.25,450,"1996-07-25 2025-08-08",2.02,5.24,444,"1996-07-25 2025-08-08",0,0,445,"1996-07-25 2025-08-08",0,0,240,"1996-07-25 2011-08-08",,,,
2026-07-31,12.03,2.75,450,"1996-07-24 2025-08-07",85.23,8.67,450,"1996-07-24 2025-08-07",24.61,4.39,450,"1996-07-24 2025-08-07",27.71,8.71,450,"1996-07-24 2025-08-07",6.62,3.37,450,"1996-07-24 2025-08-07",39.36,13.62,450,"1996-07-24 2025-08-07",10.92,2.72,450,"1996-07-24 2025-08-07",2.29,3,450,"1996-07-24 2025-08-07",2.06,5.23,450,"1996-07-24 2025-08-07",2.02,5.21,444,"1996-07-24 2025-08-07",0,0,445,"1996-07-24 2025-08-07",0,0,241,"1996-07-24 2019-07-24",,,,
2026-07-30,12.07,2.76,450,"1996-07-23 2025-08-06",85.36,8.38,450,"1996-07-23 2025-08-06",24.72,4.41,450,"1996-07-23 2025-08-06",27.89,8.79,450,"1996-07-23 2025-08-06",6.57,3.42,450,"1996-07-23 2025-08-06",39.04,13.75,450,"1996-07-23 2025-08-06",10.96,2.71,450,"1996-07-23 2025-08-06",2.26,2.99,450,"1996-07-23 2025-08-06",1.99,5.24,450,"1996-07-23 2025-08-06",1.95,5.22,445,"1996-07-23 2025-08-06",0,0,446,"1996-07-23 2025-08-06",0,0,242,"1996-07-23 2019-07-24",,,,
2026-07-29,12.11,2.79,450,"1996-07-22 2025-08-05",85.29,8.46,450,"1996-07-22 2025-08-05",24.71,4.44,450,"1996-07-22 2025-08-05",27.87,8.78,450,"1996-07-22 2025-08-05",6.58,3.47,450,"1996-07-22 2025-08-05",39.14,13.74,450,"1996-07-22 2025-08-05",11,2.72,450,"1996-07-22 2025-08-05",2.36,3.14,450,"1996-07-22 2025-08-05",1.96,5.15,450,"1996-07-22 2025-08-05",1.93,5.13,446,"1996-07-22 2025-08-04",0,0,447,"1996-07-22 2025-08-04",0,0,243,"1996-07-22 2019-07-24",,,,
2026-07-28,12.14,2.76,450,"1996-07-21 2025-08-04",85.3,8.54,450,"1996-07-21 2025-08-04",24.76,4.39,450,"1996-07-21 2025-08-04",28.02,8.85,450,"1996-07-21 2025-08-04",6.55,3.48,450,"1996-07-21 2025-08-04",38.87,13.54,450,"1996-07-21 2025-08-04",11,2.7,450,"1996-07-21 2025-08-04",2.38,3.16,450,"1996-07-21 2025-08-04",1.67,4.27,450,"1996-07-21 2025-08-04",1.63,4.23,447,"1996-07-21 2025-08-04",0,0,448,"1996-07-21 2025-08-04",0,0,244,"1996-07-21 2019-07-24",,,,
2026-07-27,12.15,2.8,450,"1996-07-20 2025-08-03",85.12,8.74,450,"1996-07-20 2025-08-03",24.85,4.28,450,"1996-07-20 2025-08-03",28.21,8.89,450,"1996-07-20 2025-08-03",6.51,3.54,450,"1996-07-20 2025-08-03",38.66,13.6,450,"1996-07-20 2025-08-03",11,2.71,450,"1996-07-20 2025-08-03",2.41,3.16,450,"1996-07-20 2025-08-03",1.57,4.11,450,"1996-07-20 2025-08-03",1.54,4.07,448,"1996-07-20 2025-08-03",0,0,448,"1996-07-20 2025-08-03",0,0,245,"1996-07-20 2019-07-24",,,,
