date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2026-08-01,10.5,1.25,30,"1996-08-01 2025-08-01",83.94,4.67,30,"1996-08-01 2025-08-01",23.56,1.83,30,"1996-08-01 2025-08-01",26.49,1.61,30,"1996-08-01 2025-08-01",5.23,1.4,30,"1996-08-01 2025-08-01",38.36,6.84,30,"1996-08-01 2025-08-01",9.7,1.25,30,"1996-08-01 2025-08-01",2.06,0.86,30,"1996-08-01 2025-08-01",55.77,26.85,30,"1996-08-01 2025-08-01",54.81,26.69,30,"1996-08-01 2025-08-01",0,0,30,"1996-08-01 2025-08-01",0,0,16,"1996-08-01 2011-08-01",,,,
2026-07-01,12.15,1.31,30,"1996-07-01 2025-07-01",85.18,4.08,30,"1996-07-01 2025-07-01",24.04,1.71,30,"1996-07-01 2025-07-01",28.38,1.75,30,"1996-07-01 2025-07-01",6.23,1.29,30,"1996-07-01 2025-07-01",40.4,5.54,30,"1996-07-01 2025-07-01",10.77,1.34,30,"1996-07-01 2025-07-01",2.5,0.83,30,"1996-07-01 2025-07-01",67.5,41.67,30,"1996-07-01 2025-07-01",66.73,39.66,30,"1996-07-01 2025-07-01",0,0,30,"1996-07-01 2025-07-01",0,0,18,"1996-07-01 2019-07-01",,,,
2026-06-01,8.68,1.28,30,"1996-06-01 2025-06-01",84.02,5.69,30,"1996-06-01 2025-06-01",20.06,1.64,30,"1996-06-01 2025-06-01",29.39,1.47,30,"1996-06-01 2025-06-01",2.96,1.51,30,"1996-06-01 2025-06-01",41.16,7.22,30,"1996-06-01 2025-06-01",7.94,1.17,30,"1996-06-01 2025-06-01",3.05,0.82,30,"1996-06-01 2025-06-01",102.78,45.89,30,"1996-06-01 2025-06-01",102.06,46.17,30,"1996-06-01 2025-06-01",0.13,0.68,30,"1996-06-01 2025-06-01",0,0,18,"1996-06-01 2019-06-01",,,,
2026-05-01,3.5,1.38,30,"1996-05-01 2025-05-01",79.95,5.93,30,"1996-05-01 2025-05-01",16.52,2.33,30,"1996-05-01 2025-05-01",30.08,1.97,30,"1996-05-01 2025-05-01",-2.3,1.64,30,"1996-05-01 2025-05-01",36.56,6.14,30,"1996-05-01 2025-05-01",3.54,1.61,30,"1996-05-01 2025-05-01",3.4,0.76,30,"1996-05-01 2025-05-01",55.25,28.34,30,"1996-05-01 2025-05-01",47.1,28.4,30,"1996-05-01 2025-05-01",8.71,10.36,30,"1996-05-01 2025-05-01",0.6,1.36,26,"1996-05-01 2024-05-01",,,,
2026-04-01,-1.8,1.56,30,"1996-04-01 2025-04-01",79.61,5.01,30,"1996-04-01 2025-04-01",10.49,2.33,30,"1996-04-01 2025-04-01",29.87,2.48,30,"1996-04-01 2025-04-01",-7.9,1.81,30,"1996-04-01 2025-04-01",36.69,6.58,30,"1996-04-01 2025-04-01",-2.06,1.56,30,"1996-04-01 2025-04-01",3.48,1.03,30,"1996-04-01 2025-04-01",30.65,20.76,30,"1996-04-01 2025-04-01",11.91,14.76,30,"1996-04-01 2025-04-01",22.24,17.21,30,"1996-04-01 2025-04-01",1.6,1.48,29,"1996-04-01 2025-04-01",,,,
2026-03-01,-5.82,2.24,30,"1996-03-01 2025-03-01",82.24,4.13,30,"1996-03-01 2025-03-01",3.5,4.11,30,"1996-03-01 2025-03-01",27.96,3.48,30,"1996-03-01 2025-03-01",-12.36,2.46,30,"1996-03-01 2025-03-01",45.38,8.92,30,"1996-03-01 2025-03-01",-7.9,3.16,30,"1996-03-01 2025-03-01",3.01,1.12,30,"1996-03-01 2025-03-01",19.07,13.91,30,"1996-03-01 2025-03-01",1,1.32,30,"1996-03-01 2025-03-01",24.6,16.94,30,"1996-03-01 2025-03-01",3.6,3.26,30,"1996-03-01 2025-03-01",,,,
2026-02-01,-9.02,3.4,30,"1996-02-01 2025-02-01",79.72,4.78,30,"1996-02-01 2025-02-01",-0.44,4.39,30,"1996-02-01 2025-02-01",26.42,2.89,30,"1996-02-01 2025-02-01",-15.95,3.79,30,"1996-02-01 2025-02-01",48.2,6.76,30,"1996-02-01 2025-02-01",-11.95,3.9,30,"1996-02-01 2025-02-01",2.53,0.92,30,"1996-02-01 2025-02-01",14.78,10.11,30,"1996-02-01 2025-02-01",0.09,0.19,30,"1996-02-01 2025-02-01",19.64,12.69,30,"1996-02-01 2025-02-01",4.5,3.29,30,"1996-02-01 2025-02-01",,,,
2026-01-01,-9.41,2.82,30,"1996-01-01 2025-01-01",78.7,3.26,30,"1996-01-01 2025-01-01",-0.86,3.51,30,"1996-01-01 2025-01-01",28.19,4.42,30,"1996-01-01 2025-01-01",-16.59,3.25,30,"1996-01-01 2025-01-01",48.49,4.73,30,"1996-01-01 2025-01-01",-12.52,3.33,30,"1996-01-01 2025-01-01",2.45,0.99,30,"1996-01-01 2025-01-01",11.75,7.4,30,"1996-01-01 2025-01-01",0.21,0.47,30,"1996-01-01 2025-01-01",17.27,9.19,30,"1996-01-01 2025-01-01",5.5,4.52,30,"1996-01-01 2025-01-01",,,,
2025-12-01,-9.17,3,30,"1995-12-01 2024-12-01",79.51,4.63,30,"1995-12-01 2024-12-01",-0.96,4.23,30,"1995-12-01 2024-12-01",27.34,4.19,30,"1995-12-01 2024-12-01",-16.08,3.66,30,"1995-12-01 2024-12-01",50.24,6.37,30,"1995-12-01 2024-12-01",-12.22,3.93,30,"1995-12-01 2024-12-01",2.4,0.88,30,"1995-12-01 2024-12-01",15.72,10.46,30,"1995-12-01 2024-12-01",0.35,0.76,30,"1995-12-01 2024-12-01",20.41,12.07,30,"1995-12-01 2024-12-01",5.4,4.59,30,"1995-12-01 2024-12-01",,,,
2025-11-01,-5.33,2.04,30,"1995-11-01 2024-11-01",81.45,3.94,30,"1995-11-01 2024-11-01",3.83,3.53,30,"1995-11-01 2024-11-01",27.38,2.63,30,"1995-11-01 2024-11-01",-11.65,2.44,30,"1995-11-01 2024-11-01",47.21,8.27,30,"1995-11-01 2024-11-01",-7.44,2.8,30,"1995-11-01 2024-11-01",2.34,1.04,30,"1995-11-01 2024-11-01",17,11.61,30,"1995-11-01 2024-11-01",1.23,1.55,30,"1995-11-01 2024-11-01",19.93,12.74,30,"1995-11-01 2024-11-01",2.8,2.9,30,"1995-11-01 2024-11-01",,,,
2025-10-01,-0.07,1.26,30,"1995-10-01 2024-10-01",80.56,5.35,30,"1995-10-01 2024-10-01",11.5,2.52,30,"1995-10-01 2024-10-01",27.62,2.85,30,"1995-10-01 2024-10-01",-5.83,1.46,30,"1995-10-01 2024-10-01",40.24,6.63,30,"1995-10-01 2024-10-01",-1.01,1.53,30,"1995-10-01 2024-10-01",2.63,1.1,30,"1995-10-01 2024-10-01",19.91,12.58,30,"1995-10-01 2024-10-01",9.22,6.34,30,"1995-10-01 2024-10-01",12.25,11.26,30,"1995-10-01 2024-10-01",1.6,2.17,28,"1995-10-01 2024-10-01",,,,
2025-09-01,5.72,1.15,30,"1995-09-01 2024-09-01",81.77,6.17,30,"1995-09-01 2024-09-01",18.59,2.64,30,"1995-09-01 2024-09-01",26.52,1.9,30,"1995-09-01 2024-09-01",0.56,1.21,30,"1995-09-01 2024-09-01",38.89,6.96,30,"1995-09-01 2024-09-01",5.15,1.5,30,"1995-09-01 2024-09-01",2.52,1.12,30,"1995-09-01 2024-09-01",37.03,22.49,30,"1995-09-01 2024-09-01",32.75,21.97,30,"1995-09-01 2024-09-01",3.45,8.02,30,"1995-09-01 2024-09-01",0.6,1.96,22,"1995-09-01 2020-09-01",,,,
2025-08-01,10.42,1.25,30,"1995-08-01 2024-08-01",84.18,4.75,30,"1995-08-01 2024-08-01",23.43,1.92,30,"1995-08-01 2024-08-01",26.6,1.59,30,"1995-08-01 2024-08-01",5.14,1.37,30,"1995-08-01 2024-08-01",38.51,6.92,30,"1995-08-01 2024-08-01",9.55,1.3,30,"1995-08-01 2024-08-01",2.05,0.87,30,"1995-08-01 2024-08-01",55.29,27.1,30,"1995-08-01 2024-08-01",54.33,26.93,30,"1995-08-01 2024-08-01",0,0,30,"1995-08-01 2024-08-01",0,0,17,"1995-08-01 2011-08-01",,,,
2025-07-01,12.15,1.31,30,"1995-07-01 2024-07-01",85.31,4.22,30,"1995-07-01 2024-07-01",24.03,1.73,30,"1995-07-01 2024-07-01",28.31,1.81,30,"1995-07-01 2024-07-01",6.24,1.29,30,"1995-07-01 2024-07-01",40.45,5.61,30,"1995-07-01 2024-07-01",10.72,1.35,30,"1995-07-01 2024-07-01",2.41,0.83,30,"1995-07-01 2024-07-01",66.2,38.89,30,"1995-07-01 2024-07-01",65.59,37.17,30,"1995-07-01 2024-07-01",0,0,30,"1995-07-01 2024-07-01",0,0,19,"1995-07-01 2019-07-01",,,,
2025-06-01,8.71,1.26,30,"1995-06-01 2024-06-01",84.31,5.48,30,"1995-06-01 2024-06-01",20.04,1.63,30,"1995-06-01 2024-06-01",29.32,1.5,30,"1995-06-01 2024-06-01",3.05,1.48,30,"1995-06-01 2024-06-01",41.48,6.97,30,"1995-06-01 2024-06-01",7.89,1.15,30,"1995-06-01 2024-06-01",2.99,0.88,30,"1995-06-01 2024-06-01",100.8,47.11,30,"1995-06-01 2024-06-01",100.08,47.36,30,"1995-06-01 2024-06-01",0.13,0.68,30,"1995-06-01 2024-06-01",0,0,19,"1995-06-01 2019-06-01",,,,
2025-05-01,3.5,1.38,30,"1995-05-01 2024-05-01",80.3,5.85,30,"1995-05-01 2024-05-01",16.4,2.27,30,"1995-05-01 2024-05-01",29.98,2.02,30,"1995-05-01 2024-05-01",-2.28,1.65,30,"1995-05-01 2024-05-01",36.84,6.09,30,"1995-05-01 2024-05-01",3.45,1.57,30,"1995-05-01 2024-05-01",3.34,0.85,30,"1995-05-01 2024-05-01",55.87,28.49,30,"1995-05-01 2024-05-01",47.32,28.47,30,"1995-05-01 2024-05-01",9.11,10.25,30,"1995-05-01 2024-05-01",0.5,1.34,27,"1995-05-01 2024-05-01",,,,
2025-04-01,-1.79,1.56,30,"1995-04-01 2024-04-01",79.89,5.05,30,"1995-04-01 2024-04-01",10.4,2.31,30,"1995-04-01 2024-04-01",30,2.54,30,"1995-04-01 2024-04-01",-7.89,1.81,30,"1995-04-01 2024-04-01",37.05,6.39,30,"1995-04-01 2024-04-01",-2.14,1.54,30,"1995-04-01 2024-04-01",3.52,1.01,30,"1995-04-01 2024-04-01",31.07,20.64,30,"1995-04-01 2024-04-01",12.05,14.75,30,"1995-04-01 2024-04-01",22.55,17.09,30,"1995-04-01 2024-04-01",1.5,1.5,29,"1995-04-01 2024-04-01",,,,
2025-03-01,-5.91,2.24,30,"1995-03-01 2024-03-01",82.04,4.21,30,"1995-03-01 2024-03-01",3.47,4.1,30,"1995-03-01 2024-03-01",28.05,3.44,30,"1995-03-01 2024-03-01",-12.52,2.46,30,"1995-03-01 2024-03-01",45.12,9.03,30,"1995-03-01 2024-03-01",-8.07,3.15,30,"1995-03-01 2024-03-01",2.98,1.15,30,"1995-03-01 2024-03-01",18.75,14.06,30,"1995-03-01 2024-03-01",0.91,1.29,30,"1995-03-01 2024-03-01",24.32,17.11,30,"1995-03-01 2024-03-01",3.7,3.25,30,"1995-03-01 2024-03-01",,,,
2025-02-01,-8.84,3.25,30,"1995-02-01 2024-02-01",79.74,4.77,30,"1995-02-01 2024-02-01",-0.16,4.24,30,"1995-02-01 2024-02-01",26.7,3.24,30,"1995-02-01 2024-02-01",-15.76,3.63,30,"1995-02-01 2024-02-01",47.88,6.91,30,"1995-02-01 2024-02-01",-11.78,3.78,30,"1995-02-01 2024-02-01",2.49,0.92,30,"1995-02-01 2024-02-01",14.35,10.36,30,"1995-02-01 2024-02-01",0.09,0.19,30,"1995-02-01 2024-02-01",19.22,13.04,30,"1995-02-01 2024-02-01",4.4,3.39,30,"1995-02-01 2024-02-01",,,,
2025-01-01,-9.42,2.82,30,"1995-01-01 2024-01-01",78.79,3.33,30,"1995-01-01 2024-01-01",-0.93,3.49,30,"1995-01-01 2024-01-01",27.79,4.74,30,"1995-01-01 2024-01-01",-16.66,3.23,30,"1995-01-01 2024-01-01",48.8,4.83,30,"1995-01-01 2024-01-01",-12.67,3.28,30,"1995-01-01 2024-01-01",2.38,1.03,30,"1995-01-01 2024-01-01",11.67,7.48,30,"1995-01-01 2024-01-01",0.21,0.47,30,"1995-01-01 2024-01-01",17.23,9.24,30,"1995-01-01 2024-01-01",5.5,4.52,30,"1995-01-01 2024-01-01",,,,
2024-12-01,-9.25,2.93,30,"1994-12-01 2023-12-01",79.64,4.8,30,"1994-12-01 2023-12-01",-1.02,4.2,30,"1994-12-01 2023-12-01",27.42,4.16,30,"1994-12-01 2023-12-01",-16.22,3.52,30,"1994-12-01 2023-12-01",50.1,6.37,30,"1994-12-01 2023-12-01",-12.39,3.82,30,"1994-12-01 2023-12-01",2.39,0.9,30,"1994-12-01 2023-12-01",15.71,10.47,30,"1994-12-01 2023-12-01",0.37,0.76,30,"1994-12-01 2023-12-01",20.4,12.08,30,"1994-12-01 2023-12-01",5.3,4.68,30,"1994-12-01 2023-12-01",,,,
2024-11-01,-5.35,2.05,30,"1994-11-01 2023-11-01",81.35,3.81,30,"1994-11-01 2023-11-01",3.89,3.5,30,"1994-11-01 2023-11-01",27.74,2.99,30,"1994-11-01 2023-11-01",-11.72,2.44,30,"1994-11-01 2023-11-01",46.76,8.05,30,"1994-11-01 2023-11-01",-7.48,2.82,30,"1994-11-01 2023-11-01",2.3,1.05,30,"1994-11-01 2023-11-01",16.19,10.93,30,"1994-11-01 2023-11-01",1.23,1.55,30,"1994-11-01 2023-11-01",19.43,12.23,30,"1994-11-01 2023-11-01",2.5,2.24,30,"1994-11-01 2023-11-01",,,,
2024-10-01,-0.1,1.24,30,"1994-10-01 2023-10-01",80.67,5.35,30,"1994-10-01 2023-10-01",11.39,2.48,30,"1994-10-01 2023-10-01",27.9,3.11,30,"1994-10-01 2023-10-01",-5.85,1.45,30,"1994-10-01 2023-10-01",40.52,6.56,30,"1994-10-01 2023-10-01",-1.08,1.49,30,"1994-10-01 2023-10-01",2.7,1.08,30,"1994-10-01 2023-10-01",20.93,12.23,30,"1994-10-01 2023-10-01",9.92,6.48,30,"1994-10-01 2023-10-01",12.64,11.06,30,"1994-10-01 2023-10-01",1.6,2.18,28,"1994-10-01 2023-10-01",,,,
2024-09-01,5.63,1.04,30,"1994-09-01 2023-09-01",81.65,6.21,30,"1994-09-01 2023-09-01",18.58,2.62,30,"1994-09-01 2023-09-01",26.53,1.9,30,"1994-09-01 2023-09-01",0.48,1.15,30,"1994-09-01 2023-09-01",38.77,7.03,30,"1994-09-01 2023-09-01",5.06,1.41,30,"1994-09-01 2023-09-01",2.51,1.13,30,"1994-09-01 2023-09-01",34.91,21.89,30,"1994-09-01 2023-09-01",30.63,20.93,30,"1994-09-01 2023-09-01",3.45,8.02,30,"1994-09-01 2023-09-01",0.6,1.92,23,"1994-09-01 2020-09-01",,,,
2024-08-01,10.4,1.24,30,"1994-08-01 2023-08-01",84.25,4.75,30,"1994-08-01 2023-08-01",23.39,1.92,30,"1994-08-01 2023-08-01",26.64,1.63,30,"1994-08-01 2023-08-01",5.1,1.35,30,"1994-08-01 2023-08-01",38.57,6.92,30,"1994-08-01 2023-08-01",9.51,1.28,30,"1994-08-01 2023-08-01",2.03,0.87,30,"1994-08-01 2023-08-01",55.23,27.02,30,"1994-08-01 2023-08-01",54.54,27.13,30,"1994-08-01 2023-08-01",0,0,30,"1994-08-01 2023-08-01",0,0,18,"1994-08-01 2011-08-01",,,,
2024-07-01,12.09,1.31,30,"1994-07-01 2023-07-01",85.45,4.06,30,"1994-07-01 2023-07-01",23.95,1.62,30,"1994-07-01 2023-07-01",28.35,1.82,30,"1994-07-01 2023-07-01",6.24,1.29,30,"1994-07-01 2023-07-01",40.66,5.37,30,"1994-07-01 2023-07-01",10.6,1.22,30,"1994-07-01 2023-07-01",2.35,0.85,30,"1994-07-01 2023-07-01",65.93,39.05,30,"1994-07-01 2023-07-01",65.32,37.34,30,"1994-07-01 2023-07-01",0,0,30,"1994-07-01 2023-07-01",0,0,20,"1994-07-01 2019-07-01",,,,
2024-06-01,8.78,1.16,30,"1994-06-01 2023-06-01",84.52,5.29,30,"1994-06-01 2023-06-01",20.03,1.63,30,"1994-06-01 2023-06-01",29.33,1.52,30,"1994-06-01 2023-06-01",3.15,1.36,30,"1994-06-01 2023-06-01",41.75,6.74,30,"1994-06-01 2023-06-01",7.88,1.16,30,"1994-06-01 2023-06-01",2.94,0.93,30,"1994-06-01 2023-06-01",100.3,47.37,30,"1994-06-01 2023-06-01",99.59,47.61,30,"1994-06-01 2023-06-01",0.13,0.68,30,"1994-06-01 2023-06-01",0,0,20,"1994-06-01 2019-06-01",,,,
2024-05-01,3.52,1.39,30,"1994-05-01 2023-05-01",80.23,5.83,30,"1994-05-01 2023-05-01",16.46,2.26,30,"1994-05-01 2023-05-01",29.88,2.01,30,"1994-05-01 2023-05-01",-2.25,1.66,30,"1994-05-01 2023-05-01",36.9,6.1,30,"1994-05-01 2023-05-01",3.45,1.57,30,"1994-05-01 2023-05-01",3.31,0.89,30,"1994-05-01 2023-05-01",55.89,28.5,30,"1994-05-01 2023-05-01",47.64,28.59,30,"1994-05-01 2023-05-01",8.81,10.38,30,"1994-05-01 2023-05-01",0.5,1.34,27,"1994-05-01 2023-05-01",,,,
2024-04-01,-1.74,1.57,30,"1994-04-01 2023-04-01",79.95,5.02,30,"1994-04-01 2023-04-01",10.45,2.34,30,"1994-04-01 2023-04-01",29.89,2.49,30,"1994-04-01 2023-04-01",-7.86,1.82,30,"1994-04-01 2023-04-01",37.08,6.37,30,"1994-04-01 2023-04-01",-2.16,1.52,30,"1994-04-01 2023-04-01",3.42,0.99,30,"1994-04-01 2023-04-01",29.88,20.64,30,"1994-04-01 2023-04-01",11.62,14.86,30,"1994-04-01 2023-04-01",21.91,17.08,30,"1994-04-01 2023-04-01",1.5,1.51,29,"1994-04-01 2023-04-01",,,,
2024-03-01,-5.78,2.29,30,"1994-03-01 2023-03-01",81.97,4.19,30,"1994-03-01 2023-03-01",3.76,4.22,30,"1994-03-01 2023-03-01",28.27,3.51,30,"1994-03-01 2023-03-01",-12.44,2.49,30,"1994-03-01 2023-03-01",44.46,9.27,30,"1994-03-01 2023-03-01",-7.93,3.19,30,"1994-03-01 2023-03-01",2.83,1.02,30,"1994-03-01 2023-03-01",17.11,12.24,30,"1994-03-01 2023-03-01",0.93,1.29,30,"1994-03-01 2023-03-01",22.46,15.14,30,"1994-03-01 2023-03-01",3.4,3.14,30,"1994-03-01 2023-03-01",,,,
2024-02-01,-9.15,3.44,30,"1994-02-01 2023-02-01",79.54,4.73,30,"1994-02-01 2023-02-01",-0.48,4.45,30,"1994-02-01 2023-02-01",26.95,3.4,30,"1994-02-01 2023-02-01",-16.09,3.8,30,"1994-02-01 2023-02-01",47.87,6.91,30,"1994-02-01 2023-02-01",-12.09,3.98,30,"1994-02-01 2023-02-01",2.46,0.86,30,"1994-02-01 2023-02-01",14.06,10.37,30,"1994-02-01 2023-02-01",0.06,0.14,30,"1994-02-01 2023-02-01",18.96,13.07,30,"1994-02-01 2023-02-01",4.4,3.38,30,"1994-02-01 2023-02-01",,,,
