"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-01 00:00","2026","06","01","00:00","","4.6","","2.1","","84","","","","33","","48","","11.3","","89.49","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-01 01:00","2026","06","01","01:00","","4.4","","2.2","","86","","","","32","","38","","11.3","","89.45","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-01 02:00","2026","06","01","02:00","","4.3","","2.5","","88","","","","32","","43","","8.1","","89.44","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-01 03:00","2026","06","01","03:00","","4.6","","2.6","","87","","","","33","","45","","6.4","","89.35","","","","","","Moderate Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-01 04:00","2026","06","01","04:00","","4.3","","2.6","","88","","","","32","","51","","8.1","","89.32","","","","","","Moderate Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-01 05:00","2026","06","01","05:00","","4.7","","2.8","","88","","","","33","","43","","9.7","","89.31","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-01 06:00","2026","06","01","06:00","","5.4","","3.6","","88","","","","33","","46","","8.1","","89.29","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-01 07:00","2026","06","01","07:00","","6.3","","4.3","","87","","","","33","","54","","14.5","","89.27","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-01 08:00","2026","06","01","08:00","","6.8","","5.0","","88","","","","34","","57","","11.3","","89.28","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-01 09:00","2026","06","01","09:00","","7.0","","5.0","","87","","","","33","","45","","12.9","","89.31","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-01 10:00","2026","06","01","10:00","","7.3","","5.6","","89","","","","34","","44","","8.1","","89.35","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-01 11:00","2026","06","01","11:00","","7.2","","5.4","","88","","","","34","","41","","9.7","","89.44","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-01 12:00","2026","06","01","12:00","","6.9","","5.0","","87","","","","34","","50","","9.7","","89.45","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-01 13:00","2026","06","01","13:00","","6.7","","4.8","","87","","","","34","","51","","12.9","","89.55","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-01 14:00","2026","06","01","14:00","","6.8","","4.7","","87","","","","34","","46","","14.5","","89.58","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-01 15:00","2026","06","01","15:00","","6.6","","4.8","","88","","","","34","","49","","12.9","","89.56","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-01 16:00","2026","06","01","16:00","","7.0","","4.9","","86","","","","33","","49","","16.1","","89.54","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-01 17:00","2026","06","01","17:00","","7.1","","5.3","","88","","","","34","","42","","11.3","","89.56","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-01 18:00","2026","06","01","18:00","","7.3","","5.6","","89","","","","34","","39","","9.7","","89.58","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-01 19:00","2026","06","01","19:00","","7.2","","5.5","","89","","","","33","","44","","8.1","","89.61","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-01 20:00","2026","06","01","20:00","","7.2","","5.4","","89","","","","33","","41","","8.1","","89.60","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-01 21:00","2026","06","01","21:00","","7.1","","5.4","","89","","","","33","","40","","6.4","","89.57","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-01 22:00","2026","06","01","22:00","","7.1","","5.4","","89","","","","33","","39","","6.4","","89.63","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-01 23:00","2026","06","01","23:00","","7.3","","5.6","","89","","","","33","","40","","8.1","","89.57","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-02 00:00","2026","06","02","00:00","","7.2","","5.6","","89","","","","33","","39","","9.7","","89.54","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-02 01:00","2026","06","02","01:00","","7.1","","5.6","","90","","","","33","","42","","6.4","","89.51","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-02 02:00","2026","06","02","02:00","","7.2","","5.4","","89","","","","34","","34","","8.1","","89.48","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-02 03:00","2026","06","02","03:00","","7.3","","5.4","","87","","","","34","","39","","16.1","","89.45","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-02 04:00","2026","06","02","04:00","","7.2","","5.2","","87","","","","34","","44","","12.9","","89.40","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-02 05:00","2026","06","02","05:00","","7.2","","5.1","","86","","","","34","","43","","6.4","","89.47","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-02 06:00","2026","06","02","06:00","","7.0","","5.7","","91","","","","34","","39","","8.1","","89.44","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-02 07:00","2026","06","02","07:00","","7.2","","5.7","","90","","","","34","","35","","9.7","","89.47","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-02 08:00","2026","06","02","08:00","","7.7","","5.5","","86","","","","35","","33","","24.1","","89.50","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-02 09:00","2026","06","02","09:00","","7.7","","5.5","","86","","","","34","","39","","19.3","","89.51","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-02 10:00","2026","06","02","10:00","","7.9","","5.9","","87","","","","35","","39","","19.3","","89.52","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-02 11:00","2026","06","02","11:00","","8.3","","5.6","","83","","","","35","","40","","24.1","","89.52","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-02 12:00","2026","06","02","12:00","","8.3","","5.8","","84","","","","35","","40","","24.1","","89.53","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-02 13:00","2026","06","02","13:00","","8.3","","6.4","","88","","","","35","","29","","19.3","","89.55","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-02 14:00","2026","06","02","14:00","","8.3","","6.3","","87","","","","35","","39","","19.3","","89.57","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-02 15:00","2026","06","02","15:00","","8.1","","6.5","","90","","","","36","","31","","14.5","","89.59","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-02 16:00","2026","06","02","16:00","","8.2","","6.9","","91","","","","36","","36","","11.3","","89.62","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-02 17:00","2026","06","02","17:00","","8.1","","6.7","","91","","","","1","","30","","19.3","","89.67","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-02 18:00","2026","06","02","18:00","","7.9","","6.8","","93","","","","35","","28","","8.1","","89.67","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-02 19:00","2026","06","02","19:00","","8.2","","6.7","","90","","","","34","","23","","16.1","","89.67","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-02 20:00","2026","06","02","20:00","","7.7","","6.3","","91","","","","35","","25","","11.3","","89.67","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-02 21:00","2026","06","02","21:00","","7.5","","6.3","","92","","","","35","","23","","12.9","","89.69","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-02 22:00","2026","06","02","22:00","","7.4","","6.1","","91","","","","34","","17","","16.1","","89.69","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-02 23:00","2026","06","02","23:00","","7.4","","6.3","","93","","","","35","","10","","12.9","","89.69","","","","","","Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-03 00:00","2026","06","03","00:00","","7.3","","6.1","","92","","","","34","","16","","16.1","","89.66","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-03 01:00","2026","06","03","01:00","","7.3","","6.0","","91","","","","34","","9","","12.9","","89.65","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-03 02:00","2026","06","03","02:00","","7.3","","5.7","","90","","","","33","","13","","16.1","","89.61","","","","","","Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-03 03:00","2026","06","03","03:00","","7.2","","5.6","","89","","","","32","","13","","16.1","","89.58","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-03 04:00","2026","06","03","04:00","","6.9","","5.5","","91","","","","34","","11","","32.2","","89.54","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2026-06-03 05:00","2026","06","03","05:00","","5.9","","4.8","","93","","","","36","","7","","48.3","","89.51","","","","","","Mainly Clear"
