"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-01 00:00","2024","10","01","00:00","","7.5","","-3.8","","45","","","","16","","4","","24.1","","89.30","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-01 01:00","2024","10","01","01:00","","6.5","","-3.1","","50","","","","24","","4","","24.1","","89.20","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-01 02:00","2024","10","01","02:00","","6.4","","-2.5","","53","","","","","","0","","24.1","","89.16","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-01 03:00","2024","10","01","03:00","","7.7","","-5.0","","40","","","","10","","4","","24.1","","89.08","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-01 04:00","2024","10","01","04:00","","8.6","","-1.7","","48","","","","27","","4","","24.1","","89.01","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-01 05:00","2024","10","01","05:00","","9.6","","0.1","","51","","","","18","","10","","24.1","","88.97","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-01 06:00","2024","10","01","06:00","","8.1","","1.1","","61","","","","17","","10","","24.1","","88.89","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-01 07:00","2024","10","01","07:00","","7.6","","0.4","","60","","","","17","","5","","64.4","","88.79","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-01 08:00","2024","10","01","08:00","","9.4","","-0.4","","50","","","","15","","4","","64.4","","88.80","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-01 09:00","2024","10","01","09:00","","11.0","","-0.3","","46","","","","16","","10","","64.4","","88.69","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-01 10:00","2024","10","01","10:00","","12.5","","-0.2","","41","","","","17","","7","","64.4","","88.62","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-01 11:00","2024","10","01","11:00","","12.3","","-0.2","","42","","","","","","0","","64.4","","88.57","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-01 12:00","2024","10","01","12:00","","13.5","","2.3","","46","","","","20","","3","","64.4","","88.52","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-01 13:00","2024","10","01","13:00","","15.8","","3.3","","43","","","","10","","10","","24.1","","88.43","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-01 14:00","2024","10","01","14:00","","17.1","","2.7","","38","","","","25","","7","","24.1","","88.36","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-01 15:00","2024","10","01","15:00","","17.6","","2.1","","35","","","","29","","34","","24.1","","88.27","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-01 16:00","2024","10","01","16:00","","16.6","","1.0","","35","","","","29","","41","","24.1","","88.18","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-01 17:00","2024","10","01","17:00","","16.6","","-0.2","","32","","","","27","","41","","24.1","","88.18","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-01 18:00","2024","10","01","18:00","","13.8","","1.5","","43","","","","29","","28","","24.1","","88.24","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-01 19:00","2024","10","01","19:00","","12.8","","0.9","","44","","","","30","","34","","24.1","","88.23","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-01 20:00","2024","10","01","20:00","","12.2","","0.8","","45","","","","29","","20","","24.1","","88.21","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-01 21:00","2024","10","01","21:00","","10.9","","1.1","","51","","","","33","","23","","24.1","","88.31","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-01 22:00","2024","10","01","22:00","","9.0","","1.6","","60","","","","30","","17","","24.1","","88.37","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-01 23:00","2024","10","01","23:00","","9.9","","0.8","","53","","","","27","","23","","24.1","","88.33","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-02 00:00","2024","10","02","00:00","","7.6","","0.2","","59","","","","34","","9","","24.1","","88.49","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-02 01:00","2024","10","02","01:00","","5.3","","3.4","","87","","","","36","","23","","24.1","","88.67","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-02 02:00","2024","10","02","02:00","","4.3","","1.2","","80","","","","35","","26","","24.1","","88.71","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-02 03:00","2024","10","02","03:00","","3.9","","0.7","","79","","","","35","","16","","24.1","","88.72","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-02 04:00","2024","10","02","04:00","","3.8","","0.7","","80","","","","31","","8","","24.1","","88.81","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-02 05:00","2024","10","02","05:00","","3.6","","0.0","","77","","","","34","","14","","24.1","","88.83","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-02 06:00","2024","10","02","06:00","","5.2","","-0.4","","67","","","","35","","9","","24.1","","88.87","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-02 07:00","2024","10","02","07:00","","5.3","","0.1","","69","","","","31","","7","","24.1","","88.95","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-02 08:00","2024","10","02","08:00","","6.1","","-0.2","","64","","","","1","","11","","24.1","","89.00","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-02 09:00","2024","10","02","09:00","","7.5","","-0.2","","58","","","","33","","10","","24.1","","89.03","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-02 10:00","2024","10","02","10:00","","6.9","","-1.2","","56","","","","4","","4","","24.1","","89.06","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-02 11:00","2024","10","02","11:00","","6.7","","-1.4","","56","","","","3","","10","","24.1","","89.07","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-02 12:00","2024","10","02","12:00","","8.5","","-1.7","","49","","","","29","","4","","24.1","","89.08","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-02 13:00","2024","10","02","13:00","","8.3","","-0.1","","55","","","","19","","4","","24.1","","89.07","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-02 14:00","2024","10","02","14:00","","9.8","","0.8","","53","","","","16","","12","","24.1","","89.06","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-02 15:00","2024","10","02","15:00","","10.4","","0.3","","49","","","","18","","14","","12.9","","89.03","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-02 16:00","2024","10","02","16:00","","10.7","","1.1","","51","","","","19","","12","","12.9","","88.99","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-02 17:00","2024","10","02","17:00","","10.0","","1.2","","54","","","","18","","15","","24.1","","89.00","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-02 18:00","2024","10","02","18:00","","9.4","","-0.1","","51","","","","20","","17","","24.1","","89.01","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-02 19:00","2024","10","02","19:00","","9.3","","-4.8","","36","","","","27","","13","","24.1","","89.09","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-02 20:00","2024","10","02","20:00","","7.9","","-4.2","","42","","","","25","","9","","24.1","","89.13","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-02 21:00","2024","10","02","21:00","","5.7","","-2.5","","55","","","","33","","3","","24.1","","89.16","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-02 22:00","2024","10","02","22:00","","4.7","","-2.2","","61","","","","13","","4","","24.1","","89.17","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-02 23:00","2024","10","02","23:00","","3.1","","-2.0","","69","","","","16","","8","","24.1","","89.16","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-03 00:00","2024","10","03","00:00","","6.7","","-4.5","","45","","","","25","","8","","24.1","","89.17","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-03 01:00","2024","10","03","01:00","","3.0","","-4.0","","60","","","","22","","7","","24.1","","89.18","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-03 02:00","2024","10","03","02:00","","7.6","","-4.8","","41","","","","28","","17","","24.1","","89.22","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-03 03:00","2024","10","03","03:00","","3.3","","-4.7","","56","","","","6","","8","","24.1","","89.26","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-03 04:00","2024","10","03","04:00","","1.0","","-3.3","","73","","","","1","","10","","24.1","","89.32","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-03 05:00","2024","10","03","05:00","","1.1","","-3.5","","72","","","","35","","11","","24.1","","89.35","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-03 06:00","2024","10","03","06:00","","1.5","","-1.8","","79","","","","1","","10","","24.1","","89.37","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-03 07:00","2024","10","03","07:00","","1.2","","-1.2","","84","","","","35","","7","","64.4","","89.43","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-03 08:00","2024","10","03","08:00","","2.8","","-0.2","","81","","","","34","","8","","64.4","","89.49","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-03 09:00","2024","10","03","09:00","","3.8","","0.8","","80","","","","","","0","","64.4","","89.53","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-03 10:00","2024","10","03","10:00","","5.2","","1.1","","75","","","","","","0","","48.3","","89.47","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-03 11:00","2024","10","03","11:00","","7.7","","1.7","","66","","","","16","","7","","48.3","","89.44","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-03 12:00","2024","10","03","12:00","","9.4","","1.4","","57","","","","13","","12","","32.2","","89.40","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-03 13:00","2024","10","03","13:00","","10.8","","1.6","","53","","","","13","","16","","32.2","","89.32","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-03 14:00","2024","10","03","14:00","","12.1","","1.3","","48","","","","17","","14","","32.2","","89.28","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2024-10-03 15:00","2024","10","03","15:00","","12.6","","0.2","","42","","","","16","","10","","32.2","","89.25","","","","","","NA"
