Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Flag,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather,COP,Q_heat_kW,Q_cool_kW,HP_load_kWh_per_unit,AC_load_kWh_per_unit,Total_HP_AC_load_kWh_per_unit,source_file
-114.01,51.12,CALGARY INTL A,3031092,2026-06-01 00:00,2026,6,1,00:00,,4.6,,2.1,,84.0,,,,33.0,,48.0,,11.3,,89.49,,,,,,Rain,13.62850467289721,1.675,0.0,0.15363020744042502,0.0,0.15363020744042502,en_climate_hourly_AB_3031092_06-2026_P1H.csv
-114.01,51.12,CALGARY INTL A,3031092,2026-06-01 01:00,2026,6,1,01:00,,4.4,,2.2,,86.0,,,,32.0,,38.0,,11.3,,89.45,,,,,,Rain,13.502314814814799,1.7,0.0,0.15738042173838523,0.0,0.15738042173838523,en_climate_hourly_AB_3031092_06-2026_P1H.csv
-114.01,51.12,CALGARY INTL A,3031092,2026-06-01 02:00,2026,6,1,02:00,,4.3,,2.5,,88.0,,,,32.0,,43.0,,8.1,,89.44,,,,,,"Rain,Fog",13.440092165898623,1.7125,0.0,0.15927160123435619,0.0,0.15927160123435619,en_climate_hourly_AB_3031092_06-2026_P1H.csv
-114.01,51.12,CALGARY INTL A,3031092,2026-06-01 03:00,2026,6,1,03:00,,4.6,,2.6,,87.0,,,,33.0,,45.0,,6.4,,89.35,,,,,,"Moderate Rain,Fog",13.62850467289721,1.675,0.0,0.15363020744042502,0.0,0.15363020744042502,en_climate_hourly_AB_3031092_06-2026_P1H.csv
-114.01,51.12,CALGARY INTL A,3031092,2026-06-01 04:00,2026,6,1,04:00,,4.3,,2.6,,88.0,,,,32.0,,51.0,,8.1,,89.32,,,,,,"Moderate Rain,Fog",13.440092165898623,1.7125,0.0,0.15927160123435619,0.0,0.15927160123435619,en_climate_hourly_AB_3031092_06-2026_P1H.csv
-114.01,51.12,CALGARY INTL A,3031092,2026-06-01 05:00,2026,6,1,05:00,,4.7,,2.8,,88.0,,,,33.0,,43.0,,9.7,,89.31,,,,,,"Rain,Fog",13.69248826291079,1.6625,0.0,0.1517711726384366,0.0,0.1517711726384366,en_climate_hourly_AB_3031092_06-2026_P1H.csv
-114.01,51.12,CALGARY INTL A,3031092,2026-06-01 06:00,2026,6,1,06:00,,5.4,,3.6,,88.0,,,,33.0,,46.0,,8.1,,89.29,,,,,,"Rain,Fog",14.157766990291245,1.575,0.0,0.13905794616835265,0.0,0.13905794616835265,en_climate_hourly_AB_3031092_06-2026_P1H.csv
-114.01,51.12,CALGARY INTL A,3031092,2026-06-01 07:00,2026,6,1,07:00,,6.3,,4.3,,87.0,,,,33.0,,54.0,,14.5,,89.27,,,,,,Rain,14.80456852791879,1.4625,0.0,0.12348384193382471,0.0,0.12348384193382471,en_climate_hourly_AB_3031092_06-2026_P1H.csv
-114.01,51.12,CALGARY INTL A,3031092,2026-06-01 08:00,2026,6,1,08:00,,6.8,,5.0,,88.0,,,,34.0,,57.0,,11.3,,89.28,,,,,,Rain,15.190104166666675,1.4,0.0,0.11520658323332754,0.0,0.11520658323332754,en_climate_hourly_AB_3031092_06-2026_P1H.csv
-114.01,51.12,CALGARY INTL A,3031092,2026-06-01 09:00,2026,6,1,09:00,,7.0,,5.0,,87.0,,,,33.0,,45.0,,12.9,,89.31,,,,,,Rain,15.35,1.375,0.0,0.11197068403908794,0.0,0.11197068403908794,en_climate_hourly_AB_3031092_06-2026_P1H.csv
